Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
LGBTQ/Queer Cinema and Cultural Production | CINE 142,Lecture Section 01,9122,18,18,0.0,No,2021-06-28 13:02:21.036892
History of Documentary Film | CINE 202,Lecture Section 01,9021,45,45,0.0,No,2021-06-28 13:02:23.462443
Documentary and Policy: How Documentary Influences Policy | CINE 207S,SEM Section 01,6674,15,15,0.0,No,2021-06-28 13:02:26.064793
The Silent Film: An Introduction | CINE 208S,SEM Section 01,9093,12,12,0.0,No,2021-06-28 13:02:28.535706
Cinematic Authorship | CINE 216,Lecture Section 01,9220,15,15,0.0,No,2021-06-28 13:02:30.917374
"Sound, Music, and the Moving Image | CINE 230S",SEM Section 01,6872,18,18,0.0,No,2021-06-28 13:02:33.423303
Italian Cinema | CINE 254,Lecture Section 01,5707,18,18,0.0,No,2021-06-28 13:02:35.886159
World of Korean Cinema | CINE 256,Lecture Section 01,6575,14,14,0.0,No,2021-06-28 13:02:38.306718
Indian Cinema & Social Change | CINE 259,Lecture Section 01,7678,40,40,0.0,No,2021-06-28 13:02:40.699764
Religion and Film | CINE 273,Lecture Section 01,7611,45,45,0.0,No,2021-06-28 13:02:43.063823
Spies Like Us: Screening Cold War Espionage | CINE 274,Lecture Section 01,6387,35,35,0.0,No,2021-06-28 13:02:45.397358
Moving Image Practice | CINE 301S,SEM Section 01,8974,12,12,0.0,No,2021-06-28 13:02:47.746894
Moving Image Practice | CINE 301S,SEM Section 02,8975,12,12,0.0,No,2021-06-28 13:02:50.117693
Writing the Short Film | CINE 303S,SEM Section 01,9184,15,15,0.0,No,2021-06-28 13:02:52.458050
Ready for Prime Time: Writing the Dramatic TV Episode | CINE 304S,SEM Section 01,8901,16,16,0.0,No,2021-06-28 13:02:54.812516
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen | CINE 306S,SEM Section 01,9079,18,18,0.0,No,2021-06-28 13:02:57.261511
Acting For the Camera | CINE 310S,SEM Section 01,8889,16,16,0.0,No,2021-06-28 13:02:59.601488
Environmental Issues & the Documentary Arts | CINE 315S,SEM Section 01,7771,18,18,0.0,No,2021-06-28 13:03:01.976604
Film Animation Production | CINE 320S,SEM Section 01,8979,15,15,0.0,No,2021-06-28 13:03:04.326995
The Documentary Experience: A Video Approach | CINE 331S,SEM Section 01,6634,12,12,0.0,Yes,2021-06-28 13:03:06.660749
Sound for Film and Video | CINE 350S,SEM Section 01,8981,9,9,0.0,No,2021-06-28 13:03:09.100356
Cinematography | CINE 355S,SEM Section 01,9057,9,9,0.0,No,2021-06-28 13:03:11.429609
16mm Film Production | CINE 356S,SEM Section 01,9062,10,10,0.0,No,2021-06-28 13:03:13.777482
Editing for Film and Video | CINE 357S,SEM Section 01,9067,12,12,0.0,No,2021-06-28 13:03:16.141023
Graphic Design in Motion | CINE 381S,SEM Section 01,9174,12,12,0.0,No,2021-06-28 13:03:18.485771
Independent Study | CINE 391,IND Section 01,9209,3,3,0.0,No,2021-06-28 13:03:20.827274
Independent Study | CINE 391,IND Section 02,9210,3,3,0.0,No,2021-06-28 13:03:23.285434
Independent Study | CINE 391,IND Section 03,9211,3,3,0.0,No,2021-06-28 13:03:25.608189
Independent Study | CINE 391,IND Section 04,9212,3,3,0.0,No,2021-06-28 13:03:27.949508
Internship | CINE 395,IND Section 01,8985,3,3,0.0,No,2021-06-28 13:03:30.263350
Internship | CINE 395,IND Section 02,8986,3,3,0.0,No,2021-06-28 13:03:32.578660
Internship | CINE 395,IND Section 03,8987,3,3,0.0,No,2021-06-28 13:03:34.920502
Internship | CINE 395,IND Section 04,8988,3,3,0.0,No,2021-06-28 13:03:37.267722
Internship | CINE 395,IND Section 05,8989,3,3,0.0,No,2021-06-28 13:03:39.636001
Historical Documentary Production | CINE 429S,SEM Section 01,9146,15,15,0.0,No,2021-06-28 13:03:42.053300
Special Topics In Cinematic Arts | CINE 490S,SEM Section 01,5722,18,18,0.0,No,2021-06-28 13:03:44.390098
Independent Study | CINE 491,IND Section 01,9213,3,3,0.0,No,2021-06-28 13:03:46.722726
Independent Study | CINE 491,IND Section 02,9214,3,3,0.0,No,2021-06-28 13:03:49.049499
