Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Engineering the Planet | CEE 132L,Lecture Section 001,8318,6,30,80.0,2021-06-27 17:25:46.032044
Engineering the Planet | CEE 132L,Laboratory Section 01L,8319,6,30,80.0,2021-06-27 17:25:48.473386
Uncertainty Design and Optimization | CEE 201L,Lecture Section 001,8320,2,25,92.0,2021-06-27 17:25:50.896104
Uncertainty Design and Optimization | CEE 201L,Laboratory Section 01L,8321,2,25,92.0,2021-06-27 17:25:53.313117
Practical Methods in Civil Engineering | CEE 205,Lecture Section 01,8322,8,10,20.0,2021-06-27 17:25:55.845901
Research Independent Study in Civil and Environmental Engineering | CEE 294,IND Section 01,8323,0,5,100.0,2021-06-27 17:25:58.340372
Research Independent Study in Civil and Environmental Engineering | CEE 294,IND Section 02,8324,1,1,0.0,2021-06-27 17:26:00.861948
Fluid Mechanics | CEE 301L,Lecture Section 001,8325,18,18,0.0,2021-06-27 17:26:03.365460
Fluid Mechanics | CEE 301L,Laboratory Section 01L,8326,9,9,0.0,2021-06-27 17:26:05.688880
Fluid Mechanics | CEE 301L,Laboratory Section 02L,8327,10,10,0.0,2021-06-27 17:26:08.029168
Fluid Mechanics | CEE 301L,Laboratory Section 03L,8328,9,9,0.0,2021-06-27 17:26:10.359421
Fluid Mechanics | CEE 301L,Laboratory Section 04L,8329,10,10,0.0,2021-06-27 17:26:12.718551
Introduction to Soil Mechanics | CEE 302L,Lecture Section 001,8330,9,24,62.5,2021-06-27 17:26:15.047421
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 01L,8331,2,8,75.0,2021-06-27 17:26:17.374087
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 02L,8332,4,8,50.0,2021-06-27 17:26:19.733677
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 03L,8333,6,8,25.0,2021-06-27 17:26:22.059833
Introduction to Soil Mechanics | CEE 302L,Laboratory Section 04L,8334,7,10,30.0,2021-06-27 17:26:24.408626
Engineering Sustainable Design and the Global Community: Structural Focus | CEE 315-20,Lecture Section 01,8335,16,20,20.0,2021-06-27 17:26:26.773255
Engineering Sustainable Design and the Global Community: Structural Focus | CEE 315-20,Lecture Section 02,8336,9,10,10.0,2021-06-27 17:26:29.094013
Engineering Sustainable Design and the Global Community: Environmental Focus | CEE 315-60,Lecture Section 01,8337,13,20,35.0,2021-06-27 17:26:31.415030
Engineering Sustainable Design and the Global Community: Environmental Focus | CEE 315-60,Lecture Section 02,8338,8,10,20.0,2021-06-27 17:26:33.756932
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 01,8339,0,1,100.0,2021-06-27 17:26:36.123543
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 02,8340,0,1,100.0,2021-06-27 17:26:38.610806
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 03,8341,0,1,100.0,2021-06-27 17:26:41.176542
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 04,8342,0,1,100.0,2021-06-27 17:26:43.846283
Research Independent Study in Civil and Environmental Engineering | CEE 394,IND Section 05,8343,1,1,0.0,2021-06-27 17:26:46.494066
Architectural Engineering II | CEE 411,Lecture Section 01,8344,10,15,33.33333333333333,2021-06-27 17:26:49.060917
Architectural Engineering II | CEE 411,Lecture Section 02,8345,7,10,30.0,2021-06-27 17:26:51.482734
Concrete and Composite Structures | CEE 422L,Lecture Section 001,8346,8,18,55.55555555555556,2021-06-27 17:26:53.883611
Concrete and Composite Structures | CEE 422L,Laboratory Section 01L,8347,1,6,83.33333333333334,2021-06-27 17:26:56.258420
Concrete and Composite Structures | CEE 422L,Laboratory Section 02L,8348,1,6,83.33333333333334,2021-06-27 17:26:58.807178
Concrete and Composite Structures | CEE 422L,Laboratory Section 03L,8349,6,6,0.0,2021-06-27 17:27:01.201597
Concrete and Composite Structures | CEE 422L,Laboratory Section 04L,8350,10,10,0.0,2021-06-27 17:27:03.589131
Integrated Structural Design | CEE 429,Lecture Section 01,8351,12,20,40.0,2021-06-27 17:27:05.997705
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Lecture Section 001,8352,22,30,26.666666666666668,2021-06-27 17:27:08.369329
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Laboratory Section 01L,8353,5,10,50.0,2021-06-27 17:27:10.715790
Applied Biological Principles and Processes in Environmental Engineering | CEE 462L,Laboratory Section 02L,8354,7,10,30.0,2021-06-27 17:27:13.045995
Integrated Environmental Design | CEE 469,Lecture Section 01,8355,3,10,70.0,2021-06-27 17:27:15.391738
Integrated Environmental Design | CEE 469,Lecture Section 02,8356,8,10,20.0,2021-06-27 17:27:17.722962
Independent Study in Civil and Environmental Engineering | CEE 492,IND Section 01,8357,1,1,0.0,2021-06-27 17:27:20.044154
Independent Study in Civil and Environmental Engineering | CEE 492,IND Section 02,8358,1,1,0.0,2021-06-27 17:27:22.388081
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 01,8359,0,1,100.0,2021-06-27 17:27:24.726102
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 02,8360,0,1,100.0,2021-06-27 17:27:27.079527
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 03,8361,1,3,66.66666666666666,2021-06-27 17:27:29.443746
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 04,8362,0,1,100.0,2021-06-27 17:27:31.801935
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 05,8363,0,1,100.0,2021-06-27 17:27:34.285046
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 06,8364,1,1,0.0,2021-06-27 17:27:36.831873
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 07,8365,1,1,0.0,2021-06-27 17:27:39.233304
Research Independent Study in Civil and Environmental Engineering | CEE 494,IND Section 08,8366,1,1,0.0,2021-06-27 17:27:41.596719
