Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introductory Biochemistry I: Intermediary Metabolism | BIOCHEM 301,Lecture Section 01,8239,300,300,0.0,No,2021-07-01 11:17:09.937651
Research Independent Study | BIOCHEM 393,IND Section 01,2420,1,1,0.0,No,2021-07-01 11:17:12.345207
Research Independent Study | BIOCHEM 393,IND Section 02,2421,3,3,0.0,No,2021-07-01 11:17:14.769886
Research Independent Study | BIOCHEM 393,IND Section 03,2422,3,3,0.0,No,2021-07-01 11:17:17.233507
Research Independent Study | BIOCHEM 393,IND Section 04,2423,3,3,0.0,No,2021-07-01 11:17:19.650979
Research Independent Study | BIOCHEM 393,IND Section 05,2424,3,3,0.0,No,2021-07-01 11:17:22.050663
Research Independent Study | BIOCHEM 393,IND Section 06,2425,3,3,0.0,No,2021-07-01 11:17:24.434262
Research Independent Study | BIOCHEM 393,IND Section 07,2426,3,3,0.0,No,2021-07-01 11:17:26.779747
Research Independent Study | BIOCHEM 393,IND Section 08,2427,3,3,0.0,No,2021-07-01 11:17:29.171784
Research Independent Study | BIOCHEM 393,IND Section 09,2428,3,3,0.0,No,2021-07-01 11:17:31.592268
Research Independent Study | BIOCHEM 393,IND Section 11,2429,3,3,0.0,No,2021-07-01 11:17:33.935686
Research Independent Study | BIOCHEM 393,IND Section 12,2430,3,3,0.0,No,2021-07-01 11:17:36.300424
Research Independent Study | BIOCHEM 393,IND Section 13,2431,3,3,0.0,No,2021-07-01 11:17:38.753717
Research Independent Study | BIOCHEM 393,IND Section 14,2432,3,3,0.0,No,2021-07-01 11:17:41.374949
Research Independent Study | BIOCHEM 393,IND Section 15,2433,3,3,0.0,No,2021-07-01 11:17:43.766695
Research Independent Study | BIOCHEM 393,IND Section 16,2434,3,3,0.0,No,2021-07-01 11:17:46.237206
Research Independent Study | BIOCHEM 393,IND Section 17,2435,3,3,0.0,No,2021-07-01 11:17:48.629432
Research Independent Study | BIOCHEM 393,IND Section 18,2436,3,3,0.0,No,2021-07-01 11:17:50.993861
Research Independent Study | BIOCHEM 393,IND Section 19,2437,3,3,0.0,No,2021-07-01 11:17:53.417475
Research Independent Study | BIOCHEM 393,IND Section 20,2438,3,3,0.0,No,2021-07-01 11:17:55.747443
Research Independent Study | BIOCHEM 393,IND Section 21,2439,3,3,0.0,No,2021-07-01 11:17:58.071679
Research Independent Study | BIOCHEM 393,IND Section 22,2440,3,3,0.0,No,2021-07-01 11:18:00.498515
Research Independent Study | BIOCHEM 393,IND Section 23,2441,3,3,0.0,No,2021-07-01 11:18:02.936585
Research Independent Study | BIOCHEM 393,IND Section 24,2442,3,3,0.0,No,2021-07-01 11:18:05.336854
