Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ARTSVIS 89S,SEM Section 01,8703,15,15,0.0,No,2021-07-01 11:15:16.007698
Introduction to Digital Photography | ARTSVIS 119S,SEM Section 01,9132,15,15,0.0,No,2021-07-01 11:15:18.569636
Experimental Interface Design | ARTSVIS 198,Lecture Section 01,9100,18,18,0.0,No,2021-07-01 11:15:21.067237
Drawing | ARTSVIS 199,Lecture Section 01,8959,10,10,0.0,No,2021-07-01 11:15:23.500825
Medicine and the Vision of Documentary Photography | ARTSVIS 204S,SEM Section 01,6655,12,12,0.0,Yes,2021-07-01 11:15:25.951418
Intermediate Drawing | ARTSVIS 205,Lecture Section 01,8960,9,9,0.0,No,2021-07-01 11:15:28.364695
Digital Imaging | ARTSVIS 206,Lecture Section 01,8992,10,10,0.0,No,2021-07-01 11:15:30.786879
Sculpture | ARTSVIS 210,Lecture Section 01,8961,10,10,0.0,No,2021-07-01 11:15:33.257547
"Digital Documentary Photography: Education, Childhood, and Growth | ARTSVIS 212FS",SEM Section 01,6683,1,18,94.44444444444444,No,2021-07-01 11:15:35.697427
"Digital Documentary Photography: Education, Childhood, and Growth | ARTSVIS 212S",SEM Section 01,6662,15,15,0.0,No,2021-07-01 11:15:38.077855
Intermediate Painting | ARTSVIS 220,Lecture Section 01,8962,6,6,0.0,No,2021-07-01 11:15:40.442047
Printmaking: Silkscreen | ARTSVIS 224,Lecture Section 01,8963,8,8,0.0,No,2021-07-01 11:15:42.863257
Costume Design | ARTSVIS 233S,SEM Section 01,8882,16,16,0.0,No,2021-07-01 11:15:45.257765
Color Photography: Fieldwork and Digital Color | ARTSVIS 240S,SEM Section 01,6659,13,13,0.0,No,2021-07-01 11:15:47.729581
Cinematography | ARTSVIS 248S,SEM Section 01,9060,9,9,0.0,No,2021-07-01 11:15:50.144615
The Photobook: History and Practice | ARTSVIS 249S,SEM Section 01,9029,10,10,0.0,No,2021-07-01 11:15:52.583808
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 01,9089,3,3,0.0,No,2021-07-01 11:15:55.113967
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 02,9090,3,3,0.0,No,2021-07-01 11:15:57.530558
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 03,9091,3,3,0.0,No,2021-07-01 11:16:00.010173
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 04,9092,3,3,0.0,No,2021-07-01 11:16:02.434272
Writing the Short Film | ARTSVIS 303S,SEM Section 01,9185,15,15,0.0,No,2021-07-01 11:16:04.919592
USER EXPERIENCE AND USER INTERFACE DESIGN AND DEVELOPMENT | ARTSVIS 307,Lecture Section 01,9223,10,10,0.0,No,2021-07-01 11:16:07.478414
Film Animation Production | ARTSVIS 326S,SEM Section 01,8978,15,15,0.0,No,2021-07-01 11:16:10.038413
Sound for Film and Video | ARTSVIS 350S,SEM Section 01,8983,9,9,0.0,No,2021-07-01 11:16:12.636626
16mm Film Production | ARTSVIS 356S,SEM Section 01,9065,10,10,0.0,No,2021-07-01 11:16:15.033395
The View Camera: Black and White Large Format Photography | ARTSVIS 368S,SEM Section 01,6690,10,10,0.0,No,2021-07-01 11:16:17.447744
Graphic Design in Motion | ARTSVIS 381S,SEM Section 01,9172,12,12,0.0,No,2021-07-01 11:16:19.800382
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 01,9084,3,3,0.0,No,2021-07-01 11:16:22.132687
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 02,9085,3,3,0.0,No,2021-07-01 11:16:24.622057
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 03,9086,3,3,0.0,No,2021-07-01 11:16:27.172059
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 04,9087,3,3,0.0,No,2021-07-01 11:16:29.986569
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 05,9088,3,3,0.0,No,2021-07-01 11:16:32.374964
Independent Study | ARTSVIS 491,IND Section 01,8965,3,3,0.0,No,2021-07-01 11:16:34.789261
Independent Study | ARTSVIS 491,IND Section 02,8966,3,3,0.0,No,2021-07-01 11:16:37.241987
Independent Study | ARTSVIS 491,IND Section 03,8967,3,3,0.0,No,2021-07-01 11:16:39.695855
Independent Study | ARTSVIS 491,IND Section 04,8968,3,3,0.0,No,2021-07-01 11:16:42.158933
Independent Study | ARTSVIS 492,IND Section 01,8969,3,3,0.0,No,2021-07-01 11:16:44.590966
Independent Study | ARTSVIS 492,IND Section 02,8970,3,3,0.0,No,2021-07-01 11:16:46.996597
Independent Study | ARTSVIS 492,IND Section 03,8971,3,3,0.0,No,2021-07-01 11:16:49.437767
Independent Study | ARTSVIS 492,IND Section 04,8972,3,3,0.0,No,2021-07-01 11:16:51.822316
Advanced Visual Practice | ARTSVIS 497S,SEM Section 01,9026,10,10,0.0,No,2021-07-01 11:16:54.220897
