Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
The Dynamic Earth | EOS 101,Lecture Section 03,10347,185,185,0.0,No,2021-07-01 17:42:30.665570
The Dynamic Oceans | EOS 102,Lecture Section 01,9690,190,190,0.0,No,2021-07-01 17:42:33.094533
Climate Change for Future Leaders | EOS 103,Lecture Section 01,9692,30,30,0.0,No,2021-07-01 17:42:35.511368
Water Sciences: Principles and Challenges | EOS 220,Lecture Section 01,9695,30,30,0.0,No,2021-07-01 17:42:37.856488
Field Methods in Earth and Environmental Sciences | EOS 226S,SEM Section 01,9698,15,15,0.0,No,2021-07-01 17:42:40.264922
Energy and the Environment | EOS 231,Lecture Section 01,7739,175,175,0.0,No,2021-07-01 17:42:42.702621
Marine Ecology | EOS 374LA,Laboratory Section 01,9516,12,12,0.0,No,2021-07-01 17:42:45.149498
Biodiversity of Marine Invertebrates | EOS 377LA,Laboratory Section 01,9521,10,10,0.0,No,2021-07-01 17:42:47.614472
Independent Study | EOS 391,IND Section 01,2886,1,1,0.0,No,2021-07-01 17:42:50.095700
Independent Study | EOS 391,IND Section 02,2887,1,1,0.0,No,2021-07-01 17:42:52.560911
Independent Study | EOS 391,IND Section 03,2888,1,1,0.0,No,2021-07-01 17:42:55.003249
Independent Study | EOS 391,IND Section 04,2889,1,1,0.0,No,2021-07-01 17:42:57.392349
Independent Study | EOS 391,IND Section 05,2890,3,3,0.0,No,2021-07-01 17:42:59.786890
Independent Study | EOS 391,IND Section 06,2891,5,5,0.0,No,2021-07-01 17:43:02.171645
Independent Study | EOS 391,IND Section 07,2892,5,5,0.0,No,2021-07-01 17:43:04.501206
Independent Study | EOS 391,IND Section 08,2893,5,5,0.0,No,2021-07-01 17:43:06.868163
Research Independent Study | EOS 393,IND Section 01,2869,4,4,0.0,No,2021-07-01 17:43:09.216636
Research Independent Study | EOS 393,IND Section 02,2870,4,4,0.0,No,2021-07-01 17:43:11.544163
Research Independent Study | EOS 393,IND Section 03,2871,4,4,0.0,No,2021-07-01 17:43:13.864550
Research Independent Study | EOS 393,IND Section 04,2872,5,5,0.0,No,2021-07-01 17:43:16.190586
Research Independent Study | EOS 393,IND Section 05,2873,10,10,0.0,No,2021-07-01 17:43:18.513787
Research Independent Study | EOS 393,IND Section 06,2874,1,1,0.0,No,2021-07-01 17:43:20.868596
Research Independent Study | EOS 393,IND Section 08,2875,10,10,0.0,No,2021-07-01 17:43:23.283632
Research Independent Study | EOS 393,IND Section 09,2876,10,10,0.0,No,2021-07-01 17:43:25.886190
Research Independent Study | EOS 393,IND Section 11,2877,10,10,0.0,No,2021-07-01 17:43:28.502077
Research Independent Study | EOS 393,IND Section 12,2878,10,10,0.0,No,2021-07-01 17:43:30.874104
Research Independent Study | EOS 393,IND Section 13,2879,4,4,0.0,No,2021-07-01 17:43:33.302109
Research Independent Study | EOS 393,IND Section 14,2880,1,1,0.0,No,2021-07-01 17:43:35.753924
Research Independent Study | EOS 393,IND Section 16,2881,1,1,0.0,No,2021-07-01 17:43:38.177703
Research Independent Study | EOS 393,IND Section 17,2882,1,1,0.0,No,2021-07-01 17:43:40.612746
Research Independent Study | EOS 393,IND Section 18,2883,1,1,0.0,No,2021-07-01 17:43:43.023480
Research Independent Study | EOS 393,IND Section 19,2884,1,1,0.0,No,2021-07-01 17:43:45.497563
Research Independent Study | EOS 393,IND Section 20,2885,1,1,0.0,No,2021-07-01 17:43:47.936396
Research Independent Study | EOS 394,IND Section 01,2894,1,1,0.0,No,2021-07-01 17:43:50.367845
Research Independent Study | EOS 394,IND Section 02,2895,1,1,0.0,No,2021-07-01 17:43:52.731324
Research Independent Study | EOS 394,IND Section 03,2896,1,1,0.0,No,2021-07-01 17:43:55.095632
Research Independent Study | EOS 394,IND Section 04,2897,1,1,0.0,No,2021-07-01 17:43:57.456542
Research Independent Study | EOS 394,IND Section 09,2898,2,2,0.0,No,2021-07-01 17:43:59.808801
