Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 01,7600,18,18,0.0,No,2021-06-30 21:42:31.486877
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 02,7297,18,18,0.0,No,2021-06-30 21:42:34.203428
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 03,7298,18,18,0.0,No,2021-06-30 21:42:36.804198
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 04,7299,18,18,0.0,No,2021-06-30 21:42:39.278477
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 05,7300,18,18,0.0,No,2021-06-30 21:42:41.729328
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 06,6949,18,18,0.0,No,2021-06-30 21:42:44.182930
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 07,4877,15,15,0.0,No,2021-06-30 21:42:46.728276
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 08,8196,18,18,0.0,No,2021-06-30 21:42:49.153117
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 09,8205,14,14,0.0,No,2021-06-30 21:42:51.537732
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 10,8706,15,15,0.0,No,2021-06-30 21:42:53.915445
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 11,10068,12,12,0.0,No,2021-06-30 21:42:56.446023
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 12,10341,18,18,0.0,No,2021-06-30 21:42:58.973083
The Challenges of Living an Ethical Life | ETHICS 101,Lecture Section 01,7306,40,40,0.0,No,2021-06-30 21:43:01.402099
Human Rights and World Politics | ETHICS 129FS,SEM Section 01,7284,0,18,100.0,No,2021-06-30 21:43:03.804686
Globalization and Corporate Citizenship | ETHICS 160FS,SEM Section 01,7293,0,18,100.0,No,2021-06-30 21:43:06.173561
Liberty and Equality: Ancient and Modern Perspectives | ETHICS 170FS,SEM Section 01,5149,0,18,100.0,No,2021-06-30 21:43:08.539943
"What Now? The Duke Guide to Happiness, Purpose, and Well-Being | ETHICS 189",WRK Section 01,7308,60,60,0.0,No,2021-06-30 21:43:10.869235
"What Now? The Duke Guide to Happiness, Purpose, and Well-Being | ETHICS 189",WRK Section 02,9860,60,60,0.0,No,2021-06-30 21:43:13.193355
Special Topics in Ethics (Focus Program) | ETHICS 190FS,SEM Section 01,7288,0,18,100.0,No,2021-06-30 21:43:15.513736
"Refugees, Rights, and Resettlement | ETHICS 199FS",SEM Section 01,8785,0,18,100.0,No,2021-06-30 21:43:17.842923
Introduction to Engaged Citizenship and Social Change (Gateway Course) | ETHICS 201,Lecture Section 01,7317,30,30,0.0,No,2021-06-30 21:43:20.242545
Resettling Refugees in Durham | ETHICS 215,WRK Section 01,7301,16,16,0.0,No,2021-06-30 21:43:22.627546
Resettling Refugees in Durham | ETHICS 215,WRK Section 02,7302,18,18,0.0,No,2021-06-30 21:43:24.953145
Resettling Refugees in Durham | ETHICS 215,WRK Section 03,7303,18,18,0.0,No,2021-06-30 21:43:27.277163
Resettling Refugees in Durham | ETHICS 215,WRK Section 04,7304,18,18,0.0,No,2021-06-30 21:43:29.602666
Resettling Refugees in Durham | ETHICS 215,WRK Section 05,7305,20,20,0.0,No,2021-06-30 21:43:31.929376
Christian Ethics and Modern Society | ETHICS 220,Lecture Section 01,7309,60,60,0.0,No,2021-06-30 21:43:34.275742
News as a Moral Battleground | ETHICS 259,Lecture Section 01,5781,25,25,0.0,No,2021-06-30 21:43:36.669577
Neuroethics | ETHICS 269,Lecture Section 01,4979,30,30,0.0,No,2021-06-30 21:43:39.140398
Business Ethics: The Debate Over Corporate Social Responsibility | ETHICS 270,Lecture Section 01,4464,15,15,0.0,No,2021-06-30 21:43:41.560325
"Denial, Faith, Reason: Sustainability and Survival | ETHICS 285",Lecture Section 01,7972,20,20,0.0,No,2021-06-30 21:43:43.881761
Special Topics in Ethics | ETHICS 290,Lecture Section 02,5451,16,16,0.0,No,2021-06-30 21:43:46.244348
Ethics and Philosophy of Sport | ETHICS 315S,SEM Section 01,7291,16,16,0.0,No,2021-06-30 21:43:48.699540
Global Health as an Ethical Enterprise | ETHICS 344,Lecture Section 01,5851,40,40,0.0,No,2021-06-30 21:43:51.045832
Muslim Ethics and Islamic Law: Issues and Debates | ETHICS 345S,SEM Section 01,7654,18,18,0.0,No,2021-06-30 21:43:53.397443
Reproductive Ethics | ETHICS 375,Lecture Section 01,4961,18,18,0.0,No,2021-06-30 21:43:55.746740
Special Topics in Ethics | ETHICS 390S,SEM Section 01,8203,18,18,0.0,No,2021-06-30 21:43:58.114703
Research Independent Study | ETHICS 493,IND Section 01,7289,18,18,0.0,No,2021-06-30 21:44:00.597214
Research Independent Study | ETHICS 493,IND Section 02,7290,18,18,0.0,No,2021-06-30 21:44:02.975787
