Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
LGBTQ/Queer Cinema and Cultural Production | CINE 142,Lecture Section 01,9122,18,18,0.0,No,2021-06-30 21:36:54.984576
History of Documentary Film | CINE 202,Lecture Section 01,9021,45,45,0.0,No,2021-06-30 21:36:57.407718
Documentary and Policy: How Documentary Influences Policy | CINE 207S,SEM Section 01,6674,15,15,0.0,No,2021-06-30 21:36:59.878350
The Silent Film: An Introduction | CINE 208S,SEM Section 01,9093,12,12,0.0,No,2021-06-30 21:37:02.352644
Cinematic Authorship | CINE 216,Lecture Section 01,9220,15,15,0.0,No,2021-06-30 21:37:04.796223
"Sound, Music, and the Moving Image | CINE 230S",SEM Section 01,6872,18,18,0.0,No,2021-06-30 21:37:07.402420
Italian Cinema | CINE 254,Lecture Section 01,5707,18,18,0.0,No,2021-06-30 21:37:09.839833
World of Korean Cinema | CINE 256,Lecture Section 01,6575,14,14,0.0,No,2021-06-30 21:37:12.224313
Indian Cinema & Social Change | CINE 259,Lecture Section 01,7678,40,40,0.0,No,2021-06-30 21:37:14.681928
Religion and Film | CINE 273,Lecture Section 01,7611,45,45,0.0,No,2021-06-30 21:37:17.075018
Spies Like Us: Screening Cold War Espionage | CINE 274,Lecture Section 01,6387,35,35,0.0,No,2021-06-30 21:37:19.433225
Moving Image Practice | CINE 301S,SEM Section 01,8974,12,12,0.0,No,2021-06-30 21:37:21.744107
Moving Image Practice | CINE 301S,SEM Section 02,8975,12,12,0.0,No,2021-06-30 21:37:24.109789
Writing the Short Film | CINE 303S,SEM Section 01,9184,15,15,0.0,No,2021-06-30 21:37:26.494963
Ready for Prime Time: Writing the Dramatic TV Episode | CINE 304S,SEM Section 01,8901,16,16,0.0,No,2021-06-30 21:37:28.950796
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen | CINE 306S,SEM Section 01,9079,18,18,0.0,No,2021-06-30 21:37:31.281983
Acting For the Camera | CINE 310S,SEM Section 01,8889,16,16,0.0,No,2021-06-30 21:37:33.618919
Environmental Issues & the Documentary Arts | CINE 315S,SEM Section 01,7771,18,18,0.0,No,2021-06-30 21:37:35.988789
Film Animation Production | CINE 320S,SEM Section 01,8979,15,15,0.0,No,2021-06-30 21:37:38.388476
The Documentary Experience: A Video Approach | CINE 331S,SEM Section 01,6634,12,12,0.0,Yes,2021-06-30 21:37:40.808122
Sound for Film and Video | CINE 350S,SEM Section 01,8981,9,9,0.0,No,2021-06-30 21:37:43.223819
Cinematography | CINE 355S,SEM Section 01,9057,9,9,0.0,No,2021-06-30 21:37:45.618223
16mm Film Production | CINE 356S,SEM Section 01,9062,10,10,0.0,No,2021-06-30 21:37:48.076152
Editing for Film and Video | CINE 357S,SEM Section 01,9067,12,12,0.0,No,2021-06-30 21:37:50.608135
Graphic Design in Motion | CINE 381S,SEM Section 01,9174,12,12,0.0,No,2021-06-30 21:37:53.237318
Independent Study | CINE 391,IND Section 01,9209,3,3,0.0,No,2021-06-30 21:37:55.708649
Independent Study | CINE 391,IND Section 02,9210,3,3,0.0,No,2021-06-30 21:37:58.147220
Independent Study | CINE 391,IND Section 03,9211,3,3,0.0,No,2021-06-30 21:38:00.568484
Independent Study | CINE 391,IND Section 04,9212,3,3,0.0,No,2021-06-30 21:38:02.926837
Internship | CINE 395,IND Section 01,8985,3,3,0.0,No,2021-06-30 21:38:05.272041
Internship | CINE 395,IND Section 02,8986,3,3,0.0,No,2021-06-30 21:38:07.652235
Internship | CINE 395,IND Section 03,8987,3,3,0.0,No,2021-06-30 21:38:10.001008
Internship | CINE 395,IND Section 04,8988,3,3,0.0,No,2021-06-30 21:38:12.369983
Internship | CINE 395,IND Section 05,8989,3,3,0.0,No,2021-06-30 21:38:14.720105
Historical Documentary Production | CINE 429S,SEM Section 01,9146,15,15,0.0,No,2021-06-30 21:38:17.179403
Special Topics In Cinematic Arts | CINE 490S,SEM Section 01,5722,18,18,0.0,No,2021-06-30 21:38:19.616680
Independent Study | CINE 491,IND Section 01,9213,3,3,0.0,No,2021-06-30 21:38:22.138661
Independent Study | CINE 491,IND Section 02,9214,3,3,0.0,No,2021-06-30 21:38:24.577097
Independent Study | CINE 491,IND Section 03,9215,3,3,0.0,No,2021-06-30 21:38:27.013529
Independent Study | CINE 491,IND Section 04,9216,3,3,0.0,No,2021-06-30 21:38:29.739983
