Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Hindi | HINDI 101,Lecture Section 001,6535,18,18,0.0,No,2021-07-01 11:17:42.106049
Elementary Hindi | HINDI 101,Discussion Section 01D,6536,18,18,0.0,No,2021-07-01 11:17:44.541615
Intermediate Hindi | HINDI 203D,Lecture Section 001,6537,18,18,0.0,No,2021-07-01 11:17:46.993081
Intermediate Hindi | HINDI 203D,Discussion Section 01D,6538,18,18,0.0,No,2021-07-01 11:17:49.446516
Advanced Hindi | HINDI 305,Lecture Section 01,6539,12,12,0.0,No,2021-07-01 11:17:51.856164
Independent Study | HINDI 391,IND Section 01,2100,4,4,0.0,No,2021-07-01 11:17:54.276214
Independent Study | HINDI 391,IND Section 02,2101,4,4,0.0,No,2021-07-01 11:17:56.749992
Issues in Hindi Language and Society II | HINDI 407S,SEM Section 01,6563,8,8,0.0,No,2021-07-01 11:17:59.150328
Elementary Hindi | HINDI 101,Lecture Section 001,6535,18,18,0.0,No,2021-07-01 17:39:29.796168
Elementary Hindi | HINDI 101,Discussion Section 01D,6536,18,18,0.0,No,2021-07-01 17:39:32.194970
Intermediate Hindi | HINDI 203D,Lecture Section 001,6537,18,18,0.0,No,2021-07-01 17:39:34.725804
Intermediate Hindi | HINDI 203D,Discussion Section 01D,6538,18,18,0.0,No,2021-07-01 17:39:37.283983
Advanced Hindi | HINDI 305,Lecture Section 01,6539,12,12,0.0,No,2021-07-01 17:39:39.698181
Independent Study | HINDI 391,IND Section 01,2100,4,4,0.0,No,2021-07-01 17:39:42.366151
Independent Study | HINDI 391,IND Section 02,2101,4,4,0.0,No,2021-07-01 17:39:44.868235
Issues in Hindi Language and Society II | HINDI 407S,SEM Section 01,6563,8,8,0.0,No,2021-07-01 17:39:47.196083
