Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Focus Program Seminar in Energy: Special Topics | ENERGY 190FS,SEM Section 01,5381,0,18,100.0,No,2021-07-01 11:15:46.908468
Focus Program Seminar in Energy: Special Topics | ENERGY 190FS,SEM Section 02,5382,0,18,100.0,No,2021-07-01 11:15:49.434548
Energy and the Environment | ENERGY 231,Lecture Section 01,7740,175,175,0.0,No,2021-07-01 11:15:51.931156
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395,IND Section 01,5374,15,15,0.0,No,2021-07-01 11:15:54.348822
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395,IND Section 02,5375,15,15,0.0,No,2021-07-01 11:15:56.725853
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395,IND Section 04,5377,15,15,0.0,No,2021-07-01 11:15:59.097554
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395-1,IND Section 01,5378,32,32,0.0,No,2021-07-01 11:16:01.535778
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 01,5383,15,15,0.0,No,2021-07-01 11:16:03.931646
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 02,5384,15,15,0.0,No,2021-07-01 11:16:06.432083
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 03,5385,15,15,0.0,No,2021-07-01 11:16:08.939224
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 04,5386,15,15,0.0,No,2021-07-01 11:16:11.371748
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 05,5387,12,12,0.0,No,2021-07-01 11:16:13.879324
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 06,5388,15,15,0.0,No,2021-07-01 11:16:16.410404
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 07,5389,15,15,0.0,No,2021-07-01 11:16:18.943113
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 08,5390,15,15,0.0,No,2021-07-01 11:16:21.341111
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 09,5391,15,15,0.0,No,2021-07-01 11:16:23.762085
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 10,10080,10,10,0.0,No,2021-07-01 11:16:26.333727
